Year,Quarter,Airline,Shares Repurchased,Cost
2013,FY,AAL,0,0
2014,FY,AAL,23400000,1000000000
2015,FY,AAL,85100000,3600000000
2016,FY,AAL,119800000,4400000000
2017,FY,AAL,33900000,1600000000
2018,FY,AAL,16600000,800000000
2019,FY,AAL,33800000,1100000000
2020,FY,AAL,6400000,145000000
2013,FY,DAL,10000000,250000000
2014,FY,DAL,28600000,1100000000
2015,FY,DAL,48400000,2200000000
2016,FY,DAL,60000000,2600000000
2017,FY,DAL,33000000,1700000000
2018,FY,DAL,29000000,1600000000
2019,FY,DAL,38000000,2000000000
2020,FY,DAL,6700000,377620000
2013,FY,UAL,0,0
2014,FY,UAL,6500000,320000000
2015,FY,UAL,21000000,1200000000
2016,FY,UAL,50000000,2600000000
2017,FY,UAL,28000000,1800000000
2018,FY,UAL,17500000,1200000000
2019,FY,UAL,19200000,1600000000
2020,FY,UAL,4300000,341400000
